> All genes with significantly altered expression levels in csm1-1 mutants relative to wild type	
>gene	>change in expression in csm1-1 mutant 2 hours after cold treatment
AT1G08550	5
AT1G08550	7
AT1G13560	-3
AT1G30100	2
AT1G31800	3
AT1G52340	5
AT1G52570	-2
AT1G52570	-5
AT1G55180	-1
AT1G55180	-6
AT1G78390	3
AT1G78390	7
AT2G27150	7
AT2G32260	-1
AT2G42010	-1
AT3G04870	10
AT3G04870	1
AT3G05630	-8
AT3G05630	-1
AT3G10230	6
AT3G10230	5
AT3G10230	11
AT3G14440	6
AT3G15730	-6
AT3G16785	-1
AT3G24220	4
AT3G24220	2
AT3G25585	-5
AT3G25585	-1
AT3G25585	-5
AT3G53130	1									
AT4G00240	-1									
AT4G00240	-2									
AT4G11830	-8									
AT4G11830	-10									
AT4G11840	-1									
AT4G11840	-4									
AT4G11850	-5									
AT4G12000	-1									
AT4G12005	4									
AT4G12010	-5									
AT4G12020	3									
AT4G12020	0									
AT4G12030	2									
AT4G12030	5									
AT4G12040	-4									
AT4G12040	3									
AT4G12050	-6									
AT4G12060	3									
AT4G12070	-1									
AT4G12080	1									
AT4G12090	-6									
AT4G12100	-4									
AT4G12110	-2									
AT4G12120	-3									
AT4G12130	-5									
AT4G12140	3									
AT4G12150	4									
AT4G12170	3									
AT4G12190	3									
AT4G12210	0									
AT4G12220	0									
AT4G12230	3									
AT4G12240	6									
AT4G12250	-5									
AT4G12270	-2									
AT4G12280	6									
AT4G12290	-1									
AT4G12300	-5									
AT4G12310	-4									
AT4G12320	5									
AT4G12330	2									
AT4G12340	0									
AT4G12350	6									
AT4G12360	-4									
AT4G12370	-2									
AT4G12380	-6									
AT4G12382	0									
AT4G12382	-2									
AT4G12390	-6									
AT4G12400	5									
AT4G12400	-6									
AT4G12410	2									
AT4G12420	-5									
AT4G12430	-3									
AT4G12432	-6									
AT4G12440	-4									
AT4G12440	-6									
AT4G12450	-6									
AT4G12460	4									
AT4G12460	0									
AT4G12470	-3									
AT4G12480	2									
AT4G12490	0									
AT4G12500	3									
AT4G12510	-6									
AT4G12520	2									
AT4G12530	-6									
AT4G12540	-2									
AT4G12545	-2									
AT4G12550	-3									
AT4G12560	0									
AT4G12560	-5									
AT4G12570	2									
AT4G12580	6									
AT4G12590	0									
AT4G12600	-6									
AT4G12610	-1									
AT4G12617	-3									
AT4G12620	-4									
AT4G12640	-3									
AT4G12650	1									
AT4G12670	2									
AT4G12680	-3									
AT4G12690	6									
AT4G12700	-1									
AT4G12710	1									
AT4G12720	0									
AT4G12720	5									
AT4G12720	1									
AT4G12730	4									
AT4G12731	1									
AT4G12735	-6									
AT4G12740	-1									
AT4G12750	-4									
AT4G12760	0									
AT4G12770	-3									
AT4G12780	-6									
AT4G12790	3									
AT4G12790	-1									
AT4G12790	5									
AT4G12790	1									
AT4G12800	1									
AT4G12810	6									
AT4G12820	-4									
AT4G12825	1									
AT4G12830	-1									
AT4G12840	2									
AT4G12850	-2									
AT4G12850	-5									
AT4G12860	1									
AT4G12870	0									
AT4G12880	2									
AT4G12890	1									
AT4G12900	-4									
AT4G12910	6									
AT4G12920	-6									
AT4G12930	-5									
AT4G12940	1									
AT4G12950	-6									
AT4G12960	1									
AT4G12970	-3									
AT4G12980	-2									
AT4G12990	5									
AT4G14210	11									
AT4G14210	10									
AT4G15130	-10									
AT4G18350	7									
AT4G18350	4
AT4G25700	10
AT4G25700	3
AT4G25700	6
AT4G35790	-1
AT5G17230	7
AT5G17230	6
AT5G25370	-3
AT5G25370	-3
AT5G52570	10
AT5G52570	2
AT5G57030	1
AT5G57030	10
AT5G67030	9
AT5G67030	3
